sku;family;categories;weight;power_requirements;description-fr_FR-print;description-fr_FR-mobile;description-en_US-print;description-en_US-mobile;description-de_DE-print;description-de_DE-mobile;name;release_date;picture;price;vendor
1000608;loudspeakers;loudspeakers,audio_video_sales,logitech;;240V;;;"   Logitech’s X-140 stereo speakers have the quality and innovation you expect from Logitech. The innovative two-driver acoustic design provides enhanced bass in a slim profile. Dynamic, real-time bass equalization maximises bass reponse while minimising distortion. Connect your portable MP3 or CD player to the convenient 3.5mm auxiliary input. Customize your audio balance with easy-to-reach tone and volume controls. Connect your favorite headphones to the integrated headphone jack and enjoy your music privately.";"X-140 Speakers";;;"Logitech X-140 Speakers";2007-08-09;;"835.35 USD";logitech
10065827;loudspeakers;loudspeakers,audio_video_sales,philips;;;"Emplissez entièrement votre pièce d'un son extraordinairement naturel et immersif. Cette enceinte sans fil Philips Fidelio diffuse la musique sans fil dans toute la pièce à partir de votre iPod Touch, iPhone ou iPad et d'iTunes sur votre ordinateur.";"Laissez-vous envelopper d'un son naturel et immersif L'obsession du son";"<b>SoundRing for natural and immersive audio</b>\nThe SoundRing brings audio with a difference to the home. Engineered to completely fill your room with superb sound, it comprises a central bass sound pipe and four high definition drivers—two front-firing and two side-firing. The front-firing drivers provide crystal-clear and detailed sound, delivering full audio impact. The side-firing speakers and the central bass sound pipe work in tandem to radiate outstandingly natural and immersive sound in all directions. The result is an unbeatable room-filling listening experience that you can enjoy from anywhere in your room.\n\n<b>Stream music with AirPlay wireless technology</b>\nAirPlay lets you stream your entire iTunes music collection to your Fidelio docking stations. It plays wirelessly from the iTunes program on your computer, iPhone, iPad or iPod Touch to any AirPlay-enabled speaker in your home. All you have to do is ensure your speakers are connected to your Wi-Fi network. AirPlay also lets you play simultaneously on every speaker in every room. Make your favourite tunes follow you into whichever room you go.";"Dock for iPhone, iPod und iPad, 16W RMS, Black";"<b>Musikübertragung mit kabelloser AirPlay-Technologie</b>\nMit AirPlay können Sie Ihre gesamte iTunes-Musiksammlung auf Ihren Fidelio-Lautsprecher streamen. Auf diese Weise wird die Musik kabellos über das iTunes-Programm Ihres Computers, iPhone, iPad oder iPod Touch auf einen beliebigen AirPlay-fähigen Lautsprechersystem bei Ihnen zu Hause wiedergegeben. Dazu müssen Sie einfach nur sicherstellen, dass Ihre Lautsprecher mit dem WiFi-Netzwerk verbunden sind. Mit AirPlay können Sie außerdem Musik gleichzeitig auf allen Lautsprechern in sämtlichen Räumen wiedergeben. Ihre Lieblingsmelodien folgen Ihnen in jedes Zimmer.\n\n<b>SoundRing für einen natürlichen, mitreißenden Klang</b>\nMit SoundRing erleben Sie Audio in Ihren vier Wänden wie nie zuvor. Diese speziell entwickelte Technologie erfüllt Ihren Raum mit überragendem Sound dank der zentralen Bassröhre und gleich vier High Definition-Treibern, zwei nach vorne gerichteten und zwei zur Seite gerichteten. Die nach vorne gerichteten Treiber ermöglichen einen kristallklaren und detailreichen Sound für ein mitreißendes Audioerlebnis. Die beiden seitlich gerichteten Lautsprecher und die zentrale Bassröhre arbeiten Hand in Hand, um Ihnen in jeder Richtung einen überragenden natürlichen Klang zu bieten. Das Ergebnis ist ein unschlagbares Hörerlebnis von allen Positionen im Raum aus.\n\n<b>Entdecken Sie Musik und weitere Funktionen, und teilen Sie diese über die kostenlose Fidelio App</b>\nDie kostenlose Philips Fidelio App enthält viele exklusive Funktionen für Ihren Fidelio. Sie können Ihre Lieblingsradiosendungen anhören, neue Musik auf Tausenden von Internetradiosendern weltweit entdecken, Ihre Musiksammlung durchstöbern und Ihren Freunden über Facebook und Twitter mitteilen, was Sie gerade hören. Per Tastendruck sind die Titelinformationen für alle Musikdateien und von Radiosendern gespielte Titel sofort verfügbar. Im Uhrmodus können Sie verschiedene individuelle Musikweckrufe einstellen und den aktuellen Wetterbericht abrufen. Laden Sie sie im App Store herunter, und erfahren Sie mehr.\n\n<b>Gleichzeitiges Wiedergeben und Aufladen Ihres iPods/iPhones/iPads</b>\nGenießen Sie Ihre MP3-Lieblingsmusik, während Sie Ihr iPhone/iPad bzw. Ihren iPod laden! Die Dockingstation ermöglicht die direkte Verbindung des tragbaren Geräts mit dem Philips System, sodass Sie Ihre Lieblingsmusik mit erstklassigem Sound genießen können. Außerdem wird das iPhone/iPad bzw. der iPod während der Wiedergabe geladen, sodass Sie sich nicht um den Akkuladezustand sorgen müssen. Solange sich das tragbare Gerät in der Dockingstation befindet, wird es automatisch geladen.";"Dock für iPhone, iPod und iPad, 16W RMS, Schwarz";"Philips DS3800W";2011-08-02;images/10065827-Philips.jpg;"408.29 EUR,411.46 USD";philips
101840;loudspeakers;loudspeakers,audio_video_sales,logitech;;;"Vibrez au son net et sans distorsion de votre ordinateur, de votre lecteur audionumérique ou de votre système multimédia. Avec son look élégant aluminium et ébène, le système de haut-parleurs Logitech Z-3e habille votre espace de travail, que ce soit au bureau, dans votre salon ou dans votre chambre à coucher.\n\n<b>Style</b>\nConception audio novatrice: sa finition en aluminium brossé et en bois, ses grilles amovibles et ses supports en métal coulé agrémentent parfaitement tout espace de bureau. \n\n<b>Qualité audio</b>\nTransducteurs satellites à pièce de phase: produisent des hautes fréquences excellentes et des fréquences moyennes riches pour une qualité sonore équilibrée. \nSubwoofer à transducteur de pression primé: la technologie brevetée de Logitech restitue les graves avec une qualité remarquable, sans déformation (subwoofer muni d'une commande de volume propre).\n \n<b>Commodité</b>\nTélécommande filaire élégante: contrôlez le volume et l'alimentation en toute simplicité. Utilisez la prise casque fournie pour une écoute en privé. \nCâbles audio codés par couleur: pour une installation plus simple et plus rapide. ";"Z-3e, 2.1, 40W RMS, noir";"Listen to crisp stereo sound with distortion-free bass on your PC, digital music player, or entertainment system. Brushed aluminum faces and ebony styling make the Logitech Z-3e speaker system a stylish addition to your workspace, whether in your home office, bedroom, or living room.\n\n<b>Style</b>\nHome audio-inspired design: Enhance your decor with brushed aluminum, ebony styling, removable grilles, and cast metal stands. \n\n<b>Sound Quality</b>\nPhase plug satellite speakers: Dual drivers project superb high-end and rich mid-range tones for balanced sound. \nAward-winning pressure-driver subwoofer: Patented Logitech technology delivers unparalleled, distortion-free bass. Includes its own volume control. \n\n<b>Convenience</b>\nElegant wired remote: Conveniently control volume and power. Includes a headphone jack for private listening. \nColour-coded audio cables: Make system setup easy and quick. ";"Z-3 speakers, 2.1, 40W RMS, black";;;"Logitech Z-3e";2005-07-15;;"470.57 EUR,445.7 USD";logitech
10504958;loudspeakers;loudspeakers,audio_video_sales,speed_link;;;;;"Lead a mobile lifestyle? Then you need some music to go along with it - SNAPPY Stereo Speakers will deliver this wherever you are. Their compact design and low weight make them the perfect companion for your notebook or MP3 player - plus, you’re freed from the mains as they’re USB powered. Thanks to their trendy design, they’ll also look good on your desktop - or anywhere where you need big sound in a little package.";"SNAPPY Stereo Speakers, 2.5W RMS, 80-18000Hz, USB 2.0, 380g, black";;;"Speed-Link SL-8003-SBK loudspeaker";2011-08-03;images/10504958-8786.jpg;"237.64 USD";speed_link
10504959;loudspeakers;loudspeakers,audio_video_sales,speed_link;;;;;"Lead a mobile lifestyle? Then you need some music to go along with it - SNAPPY Stereo Speakers will deliver this wherever you are. Their compact design and low weight make them the perfect companion for your notebook or MP3 player - plus, you’re freed from the mains as they’re USB powered. Thanks to their trendy design, they’ll also look good on your desktop - or anywhere where you need big sound in a little package.";"SNAPPY Stereo Speakers, 2.5W RMS, 80-18000Hz, USB 2.0, 380g, pink";;;"Speed-Link SL-8003-SPI loudspeaker";2011-08-03;images/10504959-5408.jpg;"85.23 USD";speed_link
10504960;loudspeakers;loudspeakers,audio_video_sales,speed_link;;;;;"Lead a mobile lifestyle? Then you need some music to go along with it - SNAPPY Stereo Speakers will deliver this wherever you are. Their compact design and low weight make them the perfect companion for your notebook or MP3 player - plus, you’re freed from the mains as they’re USB powered. Thanks to their trendy design, they’ll also look good on your desktop - or anywhere where you need big sound in a little package.";"SNAPPY Stereo Speakers, 2.5W RMS, 80-18000Hz, USB 2.0, 380g, red";;;"Speed-Link SL-8003-SRD loudspeaker";2011-08-03;images/10504960-4704.jpg;"861.91 EUR,703.54 USD";speed_link
10504961;loudspeakers;loudspeakers,audio_video_sales,speed_link;;;;;"Lead a mobile lifestyle? Then you need some music to go along with it - SNAPPY Stereo Speakers will deliver this wherever you are. Their compact design and low weight make them the perfect companion for your notebook or MP3 player - plus, you’re freed from the mains as they’re USB powered. Thanks to their trendy design, they’ll also look good on your desktop - or anywhere where you need big sound in a little package.";"SNAPPY Stereo Speakers, 2.5W RMS, 80-18000Hz, USB 2.0, 380g, white";;;"Speed-Link SL-8003-SWT loudspeaker";2011-08-03;images/10504961-855.jpg;"868.56 USD";speed_link
10597353;loudspeakers;loudspeakers,audio_video_sales,nec;;;"Adapté au design des moniteurs LCD NEC Public Display, montage et démontage faciles.";"SP-4046PV - Haut-parleurs amovibles pour les NEC Public Displays à 40 jusqu'aux 46 pouces";"Enhance your Large-Screen Display Speakers without breaking your budget with NEC's SP-4046PV.";"SP-4046PV - Removable speaker system for the NEC Public Displays 40"" to 46""";"Dem edlen Design der Displays angepasst und mit wenigen Handgriffen montiert bzw. demontiert.";"SP-4046PV - Abnehmbares Lautsprecher-System für NEC Public Displays der Serien P und V (40"" bis 46"")";"NEC SP-4046PV";2011-08-07;images/10597353-1104.jpg;"374.26 EUR,526.73 USD";nec
10598379;loudspeakers;loudspeakers,audio_video_sales,philips;;;"<b>La longueur de câble peut être modifiée.</b>\nLa gestion aisée des câbles vous aide à en finir avec les câbles emmêlés et vous permet d'avoir un bureau toujours bien rangé. Vous pouvez régler la longueur du câble selon vos besoins.\n\n<b>Musique, jeux et vidéos en ligne</b>\nL'accessoire parfait pour votre (mini) ordinateur portable afin de pouvoir profiter de votre musique et de vos vidéos multimédias avec une qualité sonore exceptionnelle.\n\n<b>Basses riches</b>\nQualité de son exceptionnelle avec des basses d'une grande richesse grâce à un haut-parleur.\n\n<b>Fiche d'alimentation USB</b>\nGrâce au confort du plug-and-play, le câble USB se connecte directement à un port USB de votre ordinateur portable, qui le reconnaît automatiquement comme un périphérique de stockage USB amovible.\n\n<b>Produit vert</b>\nCertifié « produit vert » par Royal Philips Electronics. Les performances d'un produit vert sont au moins 10 % supérieures à celles de nos principaux concurrents sur un certain nombre de questions liées au développement durable (par exemple, la faible consommation, le poids du produit, la gestion du cycle de vie, etc.).";"Enceintes USB pour ordinateur portable, 3.5mm, Noir/Rouge";"<b>Cable length can be variable</b>\nEasy cable management helps organise messy cables so you can have a tidy desk, and the cable length is adjustable to suit your needs.\n\n<b>Enjoy music, games, movies and online videos</b>\nThe perfect accompaniment for your notebook and netbook, so you can play multimedia music and videos with great sound quality.\n\n<b>Rich bass</b>\nThey provide good sound quality with a rich bass experience from a loudspeaker box system.\n\n<b>USB plug for power</b>\nWith plug-and-play convenience, the USB cable plugs directly into any USB port and your notebook automatically recognises this as a removable USB mass storage device.\n\n<b>Green product</b>\nCertified by Royal Philips Electronics as a Green Product. Green Product means the performance of the device is at least 10% better than main competitors on selected sustainability issues (e.g. energy efficiency, product weight, lifecycle management etc.).";"Notebook USB speakers, 3.5mm, Black/Red";"Wir sind perfekt für die Wiedergabe von Musik, Stimmen und Soundtracks! Schließen Sie uns einfach an Ihr Notebook oder Ihren MP3-Player an, und wir erwecken Ihre Musik und Sounds zum Leben! Mit der praktischen Kabelaufwicklung sorgen wir außerdem für Ordnung auf Ihrem Schreibtisch!";"Wir sehen süß aus, haben aber eine Menge drauf!";"Philips SPA2210R";2011-08-09;images/10598379-Philips.jpg;"281.55 EUR,686.46 USD";philips
10598381;loudspeakers;loudspeakers,audio_video_sales,philips;;;"<b>Puissance de sortie audio : 10 W</b>\nLes radiateurs de basses riches avec sortie 10 W permettent à des enceintes de petite taille de reproduire des fréquences de basses plus efficacement. Vous n'aurez pas besoin d'en acheter de plus grosses : de meilleures basses qui nécessitent moins d'espace !\n\n<b>La longueur de câble peut être modifiée.</b>\nLa gestion aisée des câbles vous aide à en finir avec les câbles emmêlés et vous permet d'avoir un bureau toujours bien rangé. Vous pouvez régler la longueur du câble selon vos besoins.\n\n<b>Musique, jeux et vidéos en ligne</b>\nL'accessoire parfait pour votre (mini) ordinateur portable afin de pouvoir profiter de votre musique et de vos vidéos multimédias avec une qualité sonore exceptionnelle.\n\n<b>Produit vert</b>\nCertifié « produit vert » par Royal Philips Electronics. Les performances d'un produit vert sont au moins 10 % supérieures à celles de nos principaux concurrents sur un certain nombre de questions liées au développement durable (par exemple, la faible consommation, le poids du produit, la gestion du cycle de vie, etc.).\n\n<b>Voix claires et limpides</b>\nProfitez de voix claires et limpides\n\n<b>Basses riches</b>\nQualité de son exceptionnelle avec des basses d'une grande richesse grâce à un haut-parleur.";"Enceintes multimédias 2.0, 2 x 2.5W, Noir";"<b>10 W sound output power</b>\nRich bass radiators with 10 W output enable small speakers to reproduce bass frequencies more effectively without having to increase their size. So better bass with less space!\n\n<b>Cable length can be variable</b>\nEasy cable management helps organise messy cables so you can have a tidy desk, and the cable length is adjustable to suit your needs.\n\n<b>Enjoy music, games, movies and online videos</b>\nThe perfect accompaniment for your notebook and netbook, so you can play multimedia music and videos with great sound quality.\n\n<b>Green product</b>\nCertified by Royal Philips Electronics as a Green Product. Green Product means the performance of the device is at least 10% better than main competitors on selected sustainability issues (e.g. energy efficiency, product weight, lifecycle management etc.).\n\n<b>Crisp and clear vocals</b>\nEnjoy crisp, clear vocal reproduction\n\n<b>Rich bass</b>\nThey provide good sound quality with a rich bass experience from a loudspeaker box system.";"Multimedia Speakers 2.0, 2 x 2.5W, Black";"Wir sind perfekt für die Wiedergabe von Musik, Stimmen und Soundtracks! Schließen Sie uns einfach an Ihr Notebook oder Ihren MP3-Player an, und wir erwecken Ihre Musik und Sounds zum Leben! Mit der praktischen Kabelaufwicklung sorgen wir außerdem für Ordnung auf Ihrem Schreibtisch!";"Wir sehen süß aus, haben aber eine Menge drauf";"Philips SPA3210B";2011-08-09;images/10598381-Philips.jpg;"165.5 EUR,174.48 USD";philips
